OOT,# Records,# Goods,# Bads,Fraud Rate,,,,,,,,
,12232,11935,297,0.024280576,,,,,,,,
,Bin statistics,,,,,Cumulative statistics,,,,,,
bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
0,0,0,0,0,0,0,0,0,0,0,0,0
1,122,29,93,23.7704918,76.2295082,122,29,93,0.242982824,31.31313131,31.07014849,0.311827957
2,123,87,36,70.73170732,29.26829268,245,116,129,0.971931295,43.43434343,42.46241214,0.899224806
3,122,89,33,72.95081967,27.04918033,367,205,162,1.717637202,54.54545455,52.82781734,1.265432099
4,122,101,21,82.78688525,17.21311475,489,306,183,2.563887725,61.61616162,59.05227389,1.672131148
5,123,115,8,93.49593496,6.504065041,612,421,191,3.527440302,64.30976431,60.78232401,2.204188482
6,122,107,15,87.70491803,12.29508197,734,528,206,4.423963134,69.36026936,64.93630623,2.563106796
7,122,110,12,90.16393443,9.836065574,856,638,218,5.34562212,73.4006734,68.05505128,2.926605505
8,123,113,10,91.8699187,8.130081301,979,751,228,6.29241726,76.76767677,70.47525951,3.293859649
9,122,115,7,94.26229508,5.737704918,1101,866,235,7.255969837,79.12457912,71.86860929,3.685106383
10,122,120,2,98.36065574,1.639344262,1223,986,237,8.261416003,79.7979798,71.53656379,4.160337553
11,123,119,4,96.74796748,3.25203252,1346,1105,241,9.258483452,81.14478114,71.88629769,4.585062241
12,122,119,3,97.54098361,2.459016393,1468,1224,244,10.2555509,82.15488215,71.89933125,5.016393443
13,122,119,3,97.54098361,2.459016393,1590,1343,247,11.25261835,83.16498316,71.91236482,5.437246964
14,122,119,3,97.54098361,2.459016393,1712,1462,250,12.2496858,84.17508418,71.92539838,5.848
15,123,119,4,96.74796748,3.25203252,1835,1581,254,13.24675325,85.52188552,72.27513228,6.224409449
16,122,121,1,99.18032787,0.819672131,1957,1702,255,14.26057813,85.85858586,71.59800773,6.674509804
17,122,121,1,99.18032787,0.819672131,2079,1823,256,15.27440302,86.1952862,70.92088318,7.12109375
18,123,120,3,97.56097561,2.43902439,2202,1943,259,16.27984918,87.20538721,70.92553802,7.501930502
19,122,120,2,98.36065574,1.639344262,2324,2063,261,17.28529535,87.87878788,70.59349253,7.904214559
20,122,122,0,100,0,2446,2185,261,18.30749895,87.87878788,69.57128893,8.37164751
21,123,123,0,100,0,2569,2308,261,19.33808127,87.87878788,68.54070661,8.842911877
22,122,122,0,100,0,2691,2430,261,20.36028488,87.87878788,67.518503,9.310344828
